zeta,noise_std,ltc_clean,ltc_noisy_mean,ltc_ratio_mean,node_clean,node_noisy_mean,node_ratio_mean,ctrnn_clean,ctrnn_noisy_mean,ctrnn_ratio_mean
0.1,0.01,1.970294e-01,1.979495e-01,1.0047,1.479110e+00,1.487138e+00,1.0054,1.785493e-01,1.790502e-01,1.0028
0.1,0.05,1.970294e-01,1.968461e-01,0.9991,1.479110e+00,1.489707e+00,1.0072,1.785493e-01,1.790944e-01,1.0031
0.1,0.10,1.970294e-01,2.020240e-01,1.0253,1.479110e+00,1.512526e+00,1.0226,1.785493e-01,1.802927e-01,1.0098
0.1,0.20,1.970294e-01,1.835756e-01,0.9317,1.479110e+00,1.381865e+00,0.9343,1.785493e-01,1.733564e-01,0.9709
0.3,0.01,5.686646e-02,5.648633e-02,0.9933,9.680815e-02,9.652974e-02,0.9971,3.323412e-02,3.320753e-02,0.9992
0.3,0.05,5.686646e-02,5.669640e-02,0.9970,9.680815e-02,9.737951e-02,1.0059,3.323412e-02,3.325605e-02,1.0007
0.3,0.10,5.686646e-02,5.723891e-02,1.0065,9.680815e-02,1.005238e-01,1.0384,3.323412e-02,3.340351e-02,1.0051
0.3,0.20,5.686646e-02,5.870016e-02,1.0322,9.680815e-02,1.034037e-01,1.0681,3.323412e-02,3.350912e-02,1.0083
0.5,0.01,2.254872e-02,2.255117e-02,1.0001,7.868469e-02,7.870931e-02,1.0003,5.309283e-02,5.301072e-02,0.9985
0.5,0.05,2.254872e-02,2.259214e-02,1.0019,7.868469e-02,8.137587e-02,1.0342,5.309283e-02,5.422784e-02,1.0214
0.5,0.10,2.254872e-02,2.257992e-02,1.0014,7.868469e-02,7.922231e-02,1.0068,5.309283e-02,5.378341e-02,1.0130
0.5,0.20,2.254872e-02,2.268563e-02,1.0061,7.868469e-02,8.432864e-02,1.0717,5.309283e-02,5.602635e-02,1.0553
0.8,0.01,4.439550e-02,4.440034e-02,1.0001,4.150212e-02,4.150338e-02,1.0000,9.818959e-02,9.820868e-02,1.0002
0.8,0.05,4.439550e-02,4.498205e-02,1.0132,4.150212e-02,4.190027e-02,1.0096,9.818959e-02,9.825121e-02,1.0006
0.8,0.10,4.439550e-02,4.521578e-02,1.0185,4.150212e-02,4.286934e-02,1.0329,9.818959e-02,1.032480e-01,1.0515
0.8,0.20,4.439550e-02,4.676832e-02,1.0534,4.150212e-02,4.380484e-02,1.0555,9.818959e-02,9.733170e-02,0.9913
1.2,0.01,8.796047e-02,8.837818e-02,1.0047,2.368191e-02,2.369560e-02,1.0006,5.623338e-02,5.650901e-02,1.0049
1.2,0.05,8.796047e-02,8.529475e-02,0.9697,2.368191e-02,2.341299e-02,0.9886,5.623338e-02,5.499521e-02,0.9780
1.2,0.10,8.796047e-02,8.812170e-02,1.0018,2.368191e-02,2.350773e-02,0.9926,5.623338e-02,5.710924e-02,1.0156
1.2,0.20,8.796047e-02,9.608196e-02,1.0923,2.368191e-02,2.405774e-02,1.0159,5.623338e-02,6.242736e-02,1.1101
