t,zeta,ground_truth_dim0,ltc_pred_dim0,ground_truth_dim1,ltc_pred_dim1
0.10050251,zeta1p2,0.99533623,0.0,0.0060484665,0.0
0.30150753,zeta1p2,-0.089149974,0.030661607,-0.003246057,0.0025581652
0.5025126,zeta1p2,0.96404225,0.089501254,0.005429953,0.014852652
0.7035176,zeta1p2,-0.21137708,0.115597606,-0.0029141172,0.011146461
0.9045226,zeta1p2,0.9139283,0.170918,0.0048746895,0.018907772
1.1055276,zeta1p2,-0.28007445,0.17940848,-0.0026161235,0.00788742
1.3065326,zeta1p2,0.8537976,0.21668202,0.004376205,0.0115143955
1.5075377,zeta1p2,-0.31353384,0.21281457,-0.0023485997,6.9391914e-05
1.7085427,zeta1p2,0.78940475,0.23805112,0.003928696,0.003585543
1.9095477,zeta1p2,-0.32417217,0.22401977,-0.0021084326,-0.006739354
2.1105528,zeta1p2,0.72443783,0.23900041,0.0035269493,-0.0025206702
2.3115578,zeta1p2,-0.32038337,0.21777025,-0.0018928251,-0.011083166
2.5125628,zeta1p2,0.66119194,0.22499761,0.0031662849,-0.005963253
2.7135677,zeta1p2,-0.3078099,0.19963978,-0.0016992667,-0.012698181
2.914573,zeta1p2,0.60102874,0.20173846,0.0028425013,-0.006842369
3.115578,zeta1p2,-0.29021528,0.17495187,-0.0015254997,-0.012003543
3.316583,zeta1p2,0.5446906,0.17424272,0.0025518297,-0.005745611
3.517588,zeta1p2,-0.27008334,0.14810202,-0.001369504,-0.009717803
3.718593,zeta1p2,0.4925131,0.14637838,0.0022908784,-0.0034240829
3.919598,zeta1p2,-0.24902813,0.12227353,-0.0012294576,-0.006600499
4.120603,zeta1p2,0.44457093,0.12074705,0.0020566138,-0.0005885358
4.321608,zeta1p2,-0.22807567,0.099447556,-0.0011037339,-0.003302478
4.522613,zeta1p2,0.40077472,0.098803915,0.0018463056,0.0021972607
4.723618,zeta1p2,-0.20785598,0.08058367,-0.0009908667,-0.0002992279
4.924623,zeta1p2,0.36093676,0.0810924,0.0016575035,0.004553287
5.125628,zeta1p2,-0.18873449,0.06587089,-0.0008895411,0.0021198085
5.326633,zeta1p2,0.32481495,0.06750916,0.0014880074,0.006275833
5.527638,zeta1p2,-0.17090179,0.054982632,-0.00079857645,0.0038289446
5.7286434,zeta1p2,0.2921409,0.05754953,0.001335844,0.007306218
5.9296484,zeta1p2,-0.1544343,0.0473,-0.0007169139,0.0048283953
6.1306534,zeta1p2,0.262639,0.050510038,0.0011992415,0.007690216
6.3316584,zeta1p2,-0.13933563,0.042087793,-0.0006436036,0.0052026007
6.5326633,zeta1p2,0.23603761,0.045640092,0.0010766066,0.007537771
6.7336683,zeta1p2,-0.12556422,0.038620364,-0.00057778845,0.0050820773
6.9346733,zeta1p2,0.21207651,0.04224425,0.0009665135,0.006988247
7.1356783,zeta1p2,-0.113052025,0.036261123,-0.000518704,0.0046124607
7.3366833,zeta1p2,0.19051068,0.039741464,0.000867678,0.0061838967
7.5376883,zeta1p2,-0.1017169,0.034503303,-0.00046566132,0.003932254
7.738693,zeta1p2,0.17111233,0.037689887,0.0007789493,0.005251982
7.9396987,zeta1p2,-0.09147043,0.032981124,-0.0004180428,0.0031590012
8.140703,zeta1p2,0.15367168,0.03578663,0.0006992944,0.004294794
8.341708,zeta1p2,-0.08222334,0.031460505,-0.00037529386,0.0023827062
8.542713,zeta1p2,0.13799663,0.03385143,0.0006277847,0.0033860975
8.743718,zeta1p2,-0.07388852,0.029817572,-0.00033691633,0.0016647489
8.944724,zeta1p2,0.12391219,0.031801574,0.0005635874,0.0025721435
